64,40
40,24
263,38
287,112
208,113
291,60
300,89
72,82
207,184
205,42
64,23
39,62
31,35
149,172
66,57
347,51
269,44
265,44
198,193
81,79
169,82
156,33
221,162
217,104
216,100
280,55
151,168
202,42
246,29
165,81
222,91
146,149
195,161
149,165
160,29
212,103
63,55
63,31
138,56
262,140
255,142
169,76
38,67
84,82
68,75
296,102
251,35
225,157
307,85
144,155
70,35
226,83
197,191
28,47
67,75
227,86
177,182
79,81
64,27
149,144
189,119
258,38
64,44
165,80
358,45
64,56
171,36
282,124
311,87
211,111
145,43
46,67
30,33
168,124
32,42
310,82
201,113
96,82
302,95
45,70
140,155
309,87
224,90
281,48
147,150
209,165
274,42
245,152
142,166
59,75
178,118
180,77
65,42
333,60
97,79
289,115
53,14
124,84
196,189
211,109
232,158
292,103
283,62
276,121
68,44
203,189
191,189
39,23
278,119
222,75
105,77
36,30
70,50
345,48
282,52
140,48
248,32
42,65
185,34
206,108
280,124
62,76
152,84
157,29
166,124
155,133
31,60
140,147
223,79
251,36
156,35
138,87
352,43
266,39
224,81
203,194
272,130
139,88
31,37
333,58
151,170
33,53
130,88
327,65
199,39
268,134
236,162
116,85
214,99
329,62
322,66
67,39
101,81
228,69
209,162
235,154
164,121
156,86
238,155
217,57
116,82
136,86
72,79
37,27
286,110
228,84
347,48
202,191
65,43
153,34
220,61
304,90
234,161
162,78
145,85
281,52
26,50
65,22
174,83
163,83
145,41
327,62
67,79
226,70
65,41
159,126
152,39
294,74
128,84
49,72
225,88
345,46
268,40
282,118
228,83
199,111
127,85
205,45
275,51
178,181
297,94
207,161
38,26
351,45
146,143
147,154
144,168
167,121
225,96
144,147
66,19
82,80
53,16
151,167
30,34
305,85
286,54
64,22
182,186
244,157
187,38
65,80
312,87
223,159
350,44
146,85
157,132
197,42
256,35
255,33
73,76
27,44
179,79
222,77
203,110
64,36
360,46
251,32
126,89
61,17
279,128
310,81
188,40
259,35
145,147
193,156
33,24
32,35
89,81
206,114
59,19
166,179
150,37
216,97
213,105
188,190
283,115
214,108
222,96
217,52
288,110
66,51
178,79
159,79
259,146
153,168
267,42
41,25
335,53
142,160
50,66
218,159
344,50
66,20
141,87
71,29
300,82
153,136
177,120
292,69
64,42
178,160
358,47
223,64
222,99
293,66
77,81
144,42
153,41
186,159
302,87
221,57
178,120
155,32
161,131
166,33
156,80
179,80
156,31
67,50
211,48
144,151
153,169
60,76
271,42
339,51
219,59
69,77
116,89
144,45
355,46
194,112
289,65
81,77
289,62
48,13
296,104
180,186
98,80
176,162
43,63
146,46
241,20
296,67
165,33
187,192
45,15
93,83
68,31
243,153
257,146
195,193
288,68
64,29
169,183
146,145
125,84
360,42
168,32
70,32
82,79
151,83
61,77
138,52
141,45
39,22
331,59
225,69
189,34
281,121
33,40
219,52
150,167
39,20
342,46
195,192
54,15
306,90
285,61
131,84
287,56
186,185
215,54
180,157
220,51
49,19
276,125
136,55
63,46
318,77
324,61
188,114
97,81
48,66
243,157
68,48
209,109
227,80
249,35
127,88
65,79
173,84
236,24
236,26
160,130
204,111
237,157
216,45
209,44
183,185
192,41
28,46
300,97
94,82
148,170
207,46
328,58
273,41
33,60
223,73
94,83
134,52
160,177
90,80
61,20
141,149
190,156
187,159
268,136
218,47
198,36
275,129
47,67
250,148
284,52
143,147
220,55
152,134
225,76
145,169
115,78
144,169
219,51
79,77
152,172
200,191
131,88
156,173
181,83
164,128
217,162
71,82
69,23
244,31
146,141
147,156
103,79
56,15
164,124
168,36
286,116
39,25
138,84
204,43
154,171
160,84
221,61
118,85
125,87
274,48
162,132
28,51
195,118
64,78
146,147
287,116
257,38
158,82
300,84
225,80
149,139
65,55
40,18
299,78
334,51
31,45
45,21
153,78
292,109
256,33
129,88
153,177
166,121
162,28
210,161
199,112
264,142
151,140
239,26
66,80
210,44
180,76
146,44
221,89
349,43
306,93
180,160
171,118
64,18
254,33
198,113
163,31
320,73
272,47
283,60
32,61
219,161
207,112
142,161
66,31
236,27
255,36
261,139
141,84
249,31
186,33
312,77
179,119
217,98
205,40
150,138
208,111
31,32
95,76
298,94
224,91
127,87
283,122
41,22
334,52
62,23
64,33
149,136
254,147
241,25
47,71
62,18
212,163
173,157
73,77
203,44
197,38
33,41
266,134
321,71
343,51
253,148
246,32
178,77
192,157
83,77
211,105
69,42
294,64
214,159
142,88
221,90
197,196
167,123
193,115
66,53
161,179
173,184
166,36
200,115
174,117
62,24
229,82
179,83
182,116
28,40
220,54
150,84
148,84
143,158
180,83
66,26
237,158
268,38
179,118
170,123
170,36
344,44
340,53
191,194
143,164
185,190
63,78
162,133
65,50
37,31
227,71
217,46
36,33
112,80
46,68
55,15
118,88
172,122
213,161
152,80
182,184
72,77
181,118
267,44
155,79
63,16
61,30
216,165
167,84
